onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision	Decision_pmod	Offer_pmod
52.062180	2	cue_social_low	n/a	16	-5	n/a	n/a	n/a
58.881960	2	cue_social	n/a	16	-2	n/a	n/a	n/a
58.881960	2	cue_social_low	n/a	16	-5	n/a	n/a	n/a
65.638664	2	cue_nonsocial	n/a	32	11	n/a	n/a	n/a
65.638664	2	cue_nonsocial_high	n/a	32	14	n/a	n/a	n/a
72.472330	2	cue_nonsocial	n/a	16	-5	n/a	n/a	n/a
72.472330	2	cue_nonsocial_low	n/a	16	-2	n/a	n/a	n/a
79.347374	2	cue_social	n/a	32	14	n/a	n/a	n/a
79.347374	2	cue_social_high	n/a	32	11	n/a	n/a	n/a
86.997160	2	cue_social	n/a	16	-2	n/a	n/a	n/a
86.997160	2	cue_social_low	n/a	16	-5	n/a	n/a	n/a
96.205320	2	cue_nonsocial	n/a	16	-5	n/a	n/a	n/a
